WKT;project_id;name;city;energy;type_solar_id;status_project_id;developer_id;wind_model_id
POINT (0.364351428389895 43.8765409897602);54;VALENCE_SUR_BAISE_Le_Cossou_01;NULL;SOLAR;1;NULL;34;NULL
POINT (0.743360772607411 44.0262577541251);55;MIRADOUX_A_Couget_01;NULL;SOLAR;1;NULL;34;NULL
POINT (3.75828956847685 43.6876636525405);56;Lestellier et Valliere;NULL;SOLAR;1;NULL;;NULL
POINT (3.75828956907982 43.6876636522226);57;Lestellier et Valliere;NULL;SOLAR;NULL;NULL;;NULL
POINT (2.13949831059851 44.0131325402647);58;Capdec Ombri?res;NULL;SOLAR;3;NULL;;NULL
POINT (2.2615139430822 44.5394278340272);59;LaDecouverte_Montet;NULL;SOLAR;1;NULL;;NULL
POINT (2.26955546508635 44.5468084600096);60;LaDecouverte_LaBouysonne;NULL;SOLAR;1;NULL;;NULL
POINT (3.09372945447806 44.3214096276455);61;Severac-le-Chateau_delaisseA75;NULL;SOLAR;1;NULL;;NULL
POINT (3.19738956673408 43.6047298743252);62;Route de Pezenes les Mines;NULL;SOLAR;1;NULL;;NULL
POINT (3.19788559898616 43.6053901736042);63;Route de Pezenes les Mines;NULL;SOLAR;NULL;NULL;;NULL
POINT (4.15112361699618 43.6935623184786);64;Le Mas de Collet;NULL;SOLAR;1;NULL;;NULL
POINT (4.15112361653995 43.6935623183524);65;Le Mas de Collet;NULL;SOLAR;NULL;NULL;;NULL
POINT (1.43949353467249 43.3903982839932);66;Miremont_02;NULL;SOLAR;1;NULL;;NULL
POINT (2.99798813999082 43.3791147942931);67;Combeplane- Orion 5  Creissan;NULL;SOLAR;1;NULL;;NULL
POINT (2.99798138183987 43.379106230419);68;Combeplane- Orion 5  Creissan;NULL;SOLAR;NULL;NULL;;NULL
POINT (2.31407780383764 44.1397046675819);69;Tauriac de Naucelle 4_4;NULL;SOLAR;1;NULL;;NULL
POINT (2.31984601898086 44.1360182787909);70;Tauriac de Naucelle 2_4;NULL;SOLAR;1;NULL;;NULL
POINT (1.09224232191219 43.6377520128781);71;ISLE_JOURDAIN_Sempe_Nord_01;NULL;SOLAR;1;NULL;;NULL
POINT (2.85023764242828 44.41971788508);72;Palmas_1_2;NULL;SOLAR;1;NULL;;NULL
POINT (2.58352778514983 43.3130499551617);73;Trausse-Paulignan;NULL;SOLAR;1;NULL;;NULL
POINT (2.58352507340523 43.3135032173783);74;Trausse-Paulignan;NULL;SOLAR;1;NULL;;NULL
POINT (2.85006191938851 44.4188188196251);75;Palmas_2_2;NULL;SOLAR;1;NULL;;NULL
POINT (2.31947999329993 44.1367151321869);76;Tauriac de Naucelle 1_4;NULL;SOLAR;1;NULL;;NULL
POINT (2.31439646796094 44.1406685511766);77;Tauriac de Naucelle 3_4;NULL;SOLAR;1;NULL;;NULL
POINT (1.09172811005943 43.6371414962825);78;ISLE_JOURDAIN_Sempe_Nord_02;NULL;SOLAR;1;NULL;;NULL
POINT (2.86457963100762 43.2235499621902);79;Raissac-La Plaine;NULL;SOLAR;1;NULL;185;NULL
POINT (2.85137178563814 43.0461200244309);80;Villeseque-Gleon;NULL;SOLAR;1;NULL;;NULL
POINT (2.8450806110259 43.2985800390463);81;Mailhac-Prade;NULL;SOLAR;1;NULL;;NULL
POINT (1.72210738279569 44.7260764473074);82;Gramat_02;NULL;SOLAR;1;NULL;186;NULL
